,Unnamed: 0.1,Unnamed: 0,Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Income_Per_Age,Work_Ratio,Loyalty_Ratio,OverTime_Binary,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,Age_Group_Old,Age_Group_Senior,Age_Group_Young,Income_Level_Low,Income_Level_Medium,Income_Level_Very_High
401,154,154,32,967,8,3,1,207,2,0,43,3,3,4,8998,15589,1,Y,14,3,4,80,0,9,2,3,9,8,3,7,272.6666666666667,0.2727272727272727,0.9,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
402,722,722,38,1391,10,1,1,1006,3,1,66,3,1,3,2684,12127,0,Y,17,3,2,80,1,3,0,2,2,1,0,2,68.82051282051282,0.0769230769230769,0.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
403,1431,1431,32,801,1,4,1,2016,3,0,48,3,3,4,10422,24032,1,Y,19,3,3,80,2,14,3,3,14,10,5,7,315.8181818181818,0.4242424242424242,0.9333333333333332,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
404,1317,1317,27,1297,5,2,1,1850,4,0,53,3,1,4,2379,19826,0,Y,14,3,3,80,0,6,3,2,5,4,0,2,84.96428571428571,0.2142857142857142,0.7142857142857143,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
405,343,343,29,144,10,1,1,463,4,0,39,2,2,2,8268,11866,1,Y,14,3,1,80,2,7,2,3,7,7,1,7,275.6,0.2333333333333333,0.875,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
406,71,71,29,1328,2,3,1,94,3,1,76,3,1,2,2703,4956,0,Y,23,4,4,80,1,6,3,3,5,4,0,4,90.1,0.2,0.7142857142857143,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
407,590,590,33,213,7,3,1,817,3,1,49,3,3,3,11691,25995,0,Y,11,3,4,80,0,14,3,4,13,9,3,7,343.8529411764706,0.4117647058823529,0.8666666666666667,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
408,1126,1126,50,264,9,3,1,1591,3,1,59,3,5,3,19331,19519,4,Y,16,3,3,80,1,27,2,3,1,0,0,0,379.0392156862745,0.5294117647058824,0.0357142857142857,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
409,60,60,32,427,1,3,1,78,1,1,33,3,2,4,6162,10877,1,Y,22,4,2,80,1,9,3,3,9,8,7,8,186.72727272727272,0.2727272727272727,0.9,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
410,1278,1278,36,1383,10,3,1,1790,4,1,90,3,3,1,8321,25949,7,Y,13,3,4,80,1,15,1,3,12,8,5,7,224.8918918918919,0.4054054054054054,0.75,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
411,1199,1199,36,1351,26,4,1,1682,1,1,80,3,2,3,5347,7419,6,Y,14,3,2,80,2,10,2,2,3,2,0,2,144.51351351351352,0.2702702702702703,0.2727272727272727,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
412,277,277,38,322,7,2,1,382,1,0,44,4,2,1,5605,19191,1,Y,24,4,3,80,1,8,3,3,8,0,7,7,143.71794871794873,0.2051282051282051,0.8888888888888888,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
414,145,145,30,201,5,3,1,197,4,0,84,3,1,1,3204,10415,5,Y,14,3,4,80,1,8,3,3,3,2,2,2,103.35483870967742,0.2580645161290322,0.3333333333333333,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
415,194,194,45,1195,2,2,1,264,1,1,65,2,4,4,16792,20462,9,Y,23,4,4,80,1,22,1,3,20,8,11,8,365.0434782608696,0.4782608695652174,0.8695652173913043,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
416,386,386,37,1107,14,3,1,515,4,0,95,3,1,1,3034,26914,1,Y,12,3,3,80,1,18,2,2,18,7,12,17,79.84210526315789,0.4736842105263157,0.9473684210526316,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
417,299,299,51,1302,2,3,1,408,4,1,84,1,2,2,5482,16321,5,Y,18,3,4,80,1,13,3,3,4,1,1,2,105.42307692307692,0.25,0.2857142857142857,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
418,865,865,30,1329,29,4,1,1211,3,1,61,3,2,1,4115,13192,8,Y,19,3,3,80,3,8,3,3,4,3,0,3,132.74193548387098,0.2580645161290322,0.4444444444444444,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
420,991,991,32,499,2,1,1,1396,3,1,36,3,2,2,4078,20497,0,Y,13,3,1,80,3,4,3,2,3,2,1,2,123.57575757575758,0.1212121212121212,0.6,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
421,1335,1335,39,835,19,4,1,1871,4,1,41,3,2,4,3902,5141,8,Y,14,3,2,80,3,7,2,3,2,2,2,2,97.55,0.175,0.25,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
422,989,989,37,1439,4,1,1,1394,3,1,54,3,1,3,2996,5182,7,Y,15,3,4,80,0,8,2,3,6,4,1,3,78.84210526315789,0.2105263157894736,0.6666666666666666,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
423,680,680,36,188,7,4,1,949,2,1,65,3,1,4,4678,23293,2,Y,18,3,3,80,0,8,6,3,6,2,0,1,126.43243243243244,0.2162162162162162,0.6666666666666666,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
424,681,681,38,1333,1,3,1,950,4,0,80,3,3,1,13582,16292,1,Y,13,3,2,80,1,15,3,3,15,12,5,11,348.2564102564103,0.3846153846153846,0.9375,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
425,1038,1038,48,1221,7,3,1,1466,3,1,96,3,2,1,5486,24795,4,Y,11,3,1,80,3,15,3,3,2,2,2,2,111.95918367346938,0.3061224489795918,0.125,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
426,571,571,26,575,1,2,1,792,1,0,71,1,1,4,4364,5288,3,Y,14,3,1,80,1,5,2,3,2,2,2,0,161.62962962962962,0.1851851851851851,0.3333333333333333,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
427,185,185,33,931,14,3,1,252,4,0,72,3,1,2,2756,4673,1,Y,13,3,4,80,1,8,5,3,8,7,1,6,81.05882352941177,0.2352941176470588,0.8888888888888888,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
428,163,163,57,334,24,2,1,223,3,1,83,4,3,4,9439,23402,3,Y,16,3,2,80,1,12,2,1,5,3,1,4,162.74137931034485,0.2068965517241379,0.3846153846153846,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
429,1193,1193,38,148,2,3,1,1675,4,0,42,2,1,2,2440,23826,1,Y,22,4,2,80,0,4,3,3,4,3,3,3,62.56410256410256,0.1025641025641025,0.8,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
430,999,999,42,1147,10,3,1,1408,3,0,31,3,4,1,16799,16616,0,Y,14,3,3,80,1,21,5,3,20,7,0,9,390.6744186046512,0.4883720930232558,0.9090909090909092,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
431,359,359,36,541,3,4,1,481,1,1,48,2,3,4,9699,7246,4,Y,11,3,1,80,1,16,2,3,13,9,1,12,262.1351351351352,0.4324324324324324,0.7647058823529411,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
432,918,918,51,237,9,3,1,1282,4,1,83,3,5,2,19847,19196,4,Y,24,4,1,80,1,31,5,2,29,10,11,10,381.6730769230769,0.5961538461538461,0.90625,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
433,311,311,45,1249,7,3,1,425,1,1,97,3,3,1,5210,20308,1,Y,18,3,1,80,1,24,2,3,24,9,9,11,113.2608695652174,0.5217391304347826,0.96,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
434,1455,1455,40,1322,2,4,1,2048,3,1,52,2,1,3,2809,2725,2,Y,14,3,4,80,0,8,2,3,2,2,2,2,68.51219512195122,0.1951219512195122,0.2222222222222222,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
436,57,57,35,1142,23,4,1,75,3,0,30,3,1,1,4014,16002,3,Y,15,3,3,80,1,4,3,3,2,2,2,2,111.5,0.1111111111111111,0.4,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
437,912,912,26,583,4,2,1,1275,3,1,53,3,1,4,2875,9973,1,Y,20,4,2,80,0,8,2,2,8,5,2,2,106.48148148148148,0.2962962962962963,0.8888888888888888,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
438,1239,1239,31,163,24,1,1,1736,4,0,30,3,2,4,5238,6670,2,Y,20,4,4,80,0,9,3,2,5,4,1,4,163.6875,0.28125,0.5,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
439,1432,1432,37,161,10,3,1,2017,3,0,42,4,3,4,13744,15471,1,Y,25,4,1,80,1,16,2,3,16,11,6,8,361.6842105263158,0.4210526315789473,0.9411764705882352,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
440,964,964,34,507,15,2,1,1356,3,0,66,3,2,1,6125,23553,1,Y,12,3,4,80,0,10,6,4,10,8,9,6,175.0,0.2857142857142857,0.9090909090909092,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
441,534,534,53,970,7,3,1,730,3,1,59,4,4,3,14814,13514,3,Y,19,3,3,80,0,32,3,3,5,1,1,3,274.3333333333333,0.5925925925925926,0.1515151515151515,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
442,1242,1242,40,611,7,4,1,1740,2,1,88,3,5,2,19833,4349,1,Y,14,3,2,80,0,21,3,2,21,8,12,8,483.7317073170732,0.5121951219512195,0.9545454545454546,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
444,354,354,30,641,25,2,1,475,4,0,85,3,2,3,4736,6069,7,Y,12,3,2,80,1,4,2,4,2,2,2,2,152.7741935483871,0.1290322580645161,0.4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
445,675,675,31,154,7,4,1,941,2,1,41,2,1,3,2329,11737,3,Y,15,3,2,80,0,13,2,4,7,7,5,2,72.78125,0.40625,0.5,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
446,561,561,52,621,3,4,1,776,3,1,31,2,4,1,16856,10084,1,Y,11,3,1,80,0,34,3,4,34,6,1,16,318.0377358490566,0.6415094339622641,0.9714285714285714,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
447,278,278,26,1479,1,3,1,384,3,0,84,3,2,2,6397,26767,1,Y,20,4,1,80,1,6,6,1,6,5,1,4,236.92592592592592,0.2222222222222222,0.8571428571428571,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
448,1165,1165,44,602,1,5,1,1642,1,1,37,3,2,4,5743,10503,4,Y,11,3,3,80,0,14,3,3,10,7,0,2,127.62222222222222,0.3111111111111111,0.6666666666666666,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
449,625,625,45,930,9,3,1,864,4,1,74,3,3,1,10761,19239,4,Y,12,3,3,80,1,18,2,3,5,4,0,2,233.93478260869568,0.391304347826087,0.2631578947368421,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
451,162,162,28,440,21,3,1,221,3,1,42,3,1,4,2713,6672,1,Y,11,3,3,80,1,5,2,1,5,2,0,2,93.55172413793105,0.1724137931034483,0.8333333333333334,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
452,986,986,39,1498,21,4,1,1390,1,1,44,2,2,4,6120,3567,3,Y,12,3,4,80,2,8,2,4,5,4,1,4,153.0,0.2,0.5555555555555556,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
453,1158,1158,37,671,19,3,1,1631,3,1,85,3,2,3,5768,26493,3,Y,17,3,1,80,3,9,2,2,4,3,0,2,151.78947368421052,0.2368421052631578,0.4,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
454,1191,1191,31,1112,5,4,1,1673,1,0,67,3,2,4,5476,22589,1,Y,11,3,1,80,2,10,2,3,10,0,0,2,171.125,0.3125,0.9090909090909092,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
455,579,579,34,121,2,4,1,804,3,0,86,2,1,1,4381,7530,1,Y,11,3,3,80,0,6,3,3,6,5,1,3,125.17142857142858,0.1714285714285714,0.8571428571428571,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
456,472,472,37,446,1,4,1,635,2,0,65,3,2,2,6447,15701,6,Y,12,3,2,80,1,8,2,2,6,5,4,3,169.6578947368421,0.2105263157894736,0.6666666666666666,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
457,933,933,28,640,1,3,1,1301,4,1,84,3,1,1,2080,4732,2,Y,11,3,2,80,0,5,2,2,3,2,1,2,71.72413793103448,0.1724137931034483,0.5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
458,309,309,31,691,5,4,1,423,3,1,86,3,1,4,4821,10077,0,Y,12,3,3,80,1,6,4,3,5,2,0,3,150.65625,0.1875,0.7142857142857143,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
459,945,945,50,1322,28,3,1,1317,4,0,43,3,4,1,16880,22422,4,Y,11,3,2,80,0,25,2,3,3,2,1,2,330.9803921568628,0.4901960784313725,0.1153846153846153,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
462,174,174,45,1268,4,2,1,240,3,0,30,3,2,1,5006,6319,4,Y,11,3,1,80,1,9,3,4,5,4,0,3,108.82608695652172,0.1956521739130435,0.5,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
463,112,112,54,142,26,3,1,148,4,0,30,4,4,4,17328,13871,2,Y,12,3,3,80,0,23,3,3,5,3,4,4,315.05454545454546,0.4181818181818181,0.2083333333333333,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
464,1422,1422,35,1490,11,4,1,2003,4,1,43,3,1,3,2660,20232,7,Y,11,3,3,80,1,5,3,3,2,2,2,2,73.88888888888889,0.1388888888888889,0.3333333333333333,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
465,702,702,30,231,8,2,1,982,3,1,62,3,3,3,7264,9977,5,Y,11,3,1,80,1,10,2,4,8,4,7,7,234.32258064516128,0.3225806451612903,0.7272727272727273,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
466,1137,1137,22,457,26,2,1,1605,2,0,85,2,1,3,2814,10293,1,Y,14,3,2,80,0,4,2,2,4,2,1,3,122.34782608695652,0.1739130434782608,0.8,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
467,1401,1401,55,189,26,4,1,1973,3,1,71,4,5,2,19636,25811,4,Y,18,3,1,80,1,35,0,3,10,9,1,4,350.6428571428572,0.625,0.2777777777777778,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
468,1305,1305,54,431,7,4,1,1830,4,0,68,3,2,4,6854,15696,4,Y,15,3,2,80,1,14,2,2,7,1,1,7,124.61818181818182,0.2545454545454545,0.4666666666666667,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
469,224,224,31,979,1,4,1,308,3,1,90,1,2,3,4345,4381,0,Y,12,3,4,80,1,6,2,3,5,4,1,4,135.78125,0.1875,0.7142857142857143,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
471,1,1,49,279,8,1,1,2,3,1,61,2,2,2,5130,24907,1,Y,23,4,4,80,1,10,3,3,10,7,1,7,102.6,0.2,0.9090909090909092,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
472,398,398,37,1063,25,5,1,529,2,0,72,3,2,3,4449,23866,3,Y,15,3,1,80,2,15,2,3,13,11,10,7,117.07894736842104,0.3947368421052631,0.8125,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
473,1413,1413,25,977,2,1,1,1992,4,1,57,3,1,3,3977,7298,6,Y,19,3,3,80,1,7,2,2,2,2,0,2,152.96153846153845,0.2692307692307692,0.25,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
474,1122,1122,29,1370,3,1,1,1586,2,1,87,3,1,1,4723,16213,1,Y,18,3,4,80,0,10,3,3,10,9,1,5,157.43333333333334,0.3333333333333333,0.9090909090909092,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
475,1337,1337,28,1172,3,3,1,1875,2,0,78,3,1,2,2856,3692,1,Y,19,3,4,80,1,1,3,3,1,0,0,0,98.48275862068964,0.0344827586206896,0.5,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
476,166,166,41,465,14,3,1,227,1,1,56,3,1,3,2451,4609,4,Y,12,3,1,80,1,13,2,3,9,8,1,8,58.35714285714285,0.3095238095238095,0.6428571428571429,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
477,679,679,31,1188,20,2,1,947,4,0,45,3,2,3,6932,24406,1,Y,13,3,4,80,1,9,2,2,9,8,0,0,216.625,0.28125,0.9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
478,1049,1049,30,1358,16,1,1,1479,4,1,96,3,2,3,5301,2939,8,Y,15,3,3,80,2,4,2,2,2,1,2,2,171.0,0.1290322580645161,0.4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
479,207,207,36,635,18,1,1,286,2,0,73,3,1,4,2153,7703,1,Y,13,3,1,80,0,8,2,3,8,1,1,7,58.18918918918919,0.2162162162162162,0.8888888888888888,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
480,894,894,54,685,3,3,1,1250,4,1,85,3,4,4,17779,23474,3,Y,14,3,1,80,0,36,2,3,10,9,0,9,323.25454545454545,0.6545454545454545,0.2702702702702703,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
481,811,811,38,130,2,2,1,1125,4,1,32,3,3,2,7351,20619,7,Y,16,3,3,80,0,10,2,3,1,0,0,0,188.48717948717947,0.2564102564102564,0.0909090909090909,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
482,198,198,38,1261,2,4,1,271,4,1,88,3,2,3,6553,7259,9,Y,14,3,2,80,0,14,3,3,1,0,0,0,168.02564102564102,0.358974358974359,0.0666666666666666,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
483,8,8,38,216,23,3,1,12,4,1,44,2,3,3,9526,8787,0,Y,21,4,2,80,0,10,2,3,9,7,1,8,244.25641025641025,0.2564102564102564,0.8181818181818182,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
484,868,868,28,1179,19,4,1,1216,4,1,78,2,1,1,3196,12449,1,Y,12,3,3,80,3,6,2,3,6,5,3,3,110.20689655172414,0.2068965517241379,0.8571428571428571,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
485,757,757,34,216,1,4,1,1047,2,1,75,4,2,4,9725,12278,0,Y,11,3,4,80,1,16,2,2,15,1,0,9,277.85714285714283,0.4571428571428571,0.8823529411764706,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
486,358,358,36,845,1,5,1,479,4,0,45,3,2,4,6653,15276,4,Y,15,3,2,80,0,7,6,3,1,0,0,0,179.8108108108108,0.1891891891891892,0.125,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
488,332,332,54,928,20,4,1,450,4,0,31,3,2,3,4869,16885,3,Y,12,3,4,80,0,20,4,2,4,3,0,3,88.52727272727273,0.3636363636363636,0.1904761904761904,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
489,298,298,36,566,18,4,1,407,3,1,81,4,1,4,3688,7122,4,Y,18,3,4,80,2,4,2,3,1,0,0,0,99.67567567567568,0.1081081081081081,0.2,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
490,1453,1453,36,1120,11,4,1,2045,2,0,100,2,2,4,6652,14369,4,Y,13,3,1,80,1,8,2,2,6,3,0,0,179.78378378378378,0.2162162162162162,0.6666666666666666,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
491,1113,1113,32,1200,1,4,1,1574,4,1,62,3,2,1,4087,25174,4,Y,14,3,2,80,1,9,3,2,6,5,1,2,123.84848484848484,0.2727272727272727,0.6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
492,536,536,60,1179,16,4,1,732,1,1,84,3,2,1,5405,11924,8,Y,14,3,4,80,0,10,1,3,2,2,2,2,88.60655737704919,0.1639344262295081,0.1818181818181818,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
493,1282,1282,33,867,8,4,1,1798,4,1,90,4,1,1,3143,6076,6,Y,19,3,2,80,1,14,1,3,10,8,7,6,92.44117647058825,0.4117647058823529,0.6666666666666666,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
494,1187,1187,38,1189,1,3,1,1668,4,1,90,3,2,4,4735,9867,7,Y,15,3,4,80,2,19,4,4,13,11,2,9,121.4102564102564,0.4871794871794871,0.65,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
495,859,859,29,942,15,1,1,1202,2,0,69,1,1,4,2168,26933,0,Y,18,3,1,80,1,6,2,2,5,4,1,3,72.26666666666667,0.2,0.7142857142857143,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
496,502,502,53,238,1,1,1,682,4,0,34,3,2,1,8381,7507,7,Y,20,4,4,80,0,18,2,4,14,7,8,10,155.2037037037037,0.3333333333333333,0.7368421052631579,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
497,283,283,55,147,20,2,1,389,2,1,37,3,2,4,5415,15972,3,Y,19,3,4,80,1,12,4,3,10,7,0,8,96.69642857142856,0.2142857142857142,0.7692307692307693,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
498,367,367,50,1046,10,3,1,491,4,1,100,2,3,4,10496,2755,6,Y,15,3,4,80,0,20,2,3,4,3,1,3,205.80392156862743,0.392156862745098,0.1904761904761904,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
499,49,49,35,1229,8,1,1,63,4,1,36,4,1,4,2269,4892,1,Y,19,3,4,80,0,1,2,3,1,0,0,1,63.02777777777778,0.0277777777777777,0.5,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
502,95,95,54,1217,2,4,1,126,1,0,60,3,3,3,13549,24001,9,Y,12,3,1,80,1,16,5,1,4,3,0,3,246.3454545454545,0.2909090909090909,0.2352941176470588,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
504,272,272,28,1158,9,3,1,377,4,1,94,3,1,4,2070,2613,1,Y,23,4,4,80,1,5,3,2,5,2,0,4,71.37931034482759,0.1724137931034483,0.8333333333333334,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
505,85,85,56,1400,7,3,1,112,4,1,49,1,3,4,7260,21698,4,Y,11,3,1,80,0,37,3,2,6,4,0,2,127.36842105263158,0.6491228070175439,0.1578947368421052,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
507,249,249,45,1199,7,4,1,341,1,1,77,4,2,3,6434,5118,4,Y,17,3,4,80,1,9,1,3,3,2,0,2,139.8695652173913,0.1956521739130435,0.3,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
